Protocol,Category,Subcategory,Function,TVL
Jito,Staking,Liquid Staking,"Liquidity
Yield","$2,990,029,423.03"
Raydium,DEX,AMM,"Trading
Yield","$1,940,466,339.79"
Kamino Lend,Money Market,-,"Lending
Yield","$1,880,469,203.14"
Sanctum Validator LSTs,Staking,Liquid Staking,"Liquidity
Yield","$1,266,610,974.66"
Marinade Liquid Staking,Staking,Liquid Staking,"Liquidity
Yield","$1,144,114,847.96"
Jupiter Perpetual Exchange,Derivatives,PerpsDEX,"Trading
Yield","$1,097,793,635.57"
Jupiter Staked SOL,Staking,Liquid Staking,"Liquidity
Yield","$838,158,435.47"
Drift Trade,Derivatives,PerpsDEX,"Trading
Yield","$591,534,733.98"
Marinade Native Staked SOL,Staking,Native Staking,Yield,"$565,704,166.65"
Binance Liquid Staked SOL,Staking,Liquid Staking,"Liquidity
Yield","$552,333,065.16"
marginfi Lending,Money Market,-,"Lending
Yield","$435,295,794.37"
BlazeStake,Staking,Liquid Staking,"Liquidity
Yield","$325,348,900.55"
Solayer SOL,Staking,Restaking,Yield,"$260,638,704.81"
Solayer USD,Other,Synthetics,"Liquidity
Yield","$260,638,704.81"
Sanctum Infinity,DEX,CLAMM,"Trading
Yield","$216,352,127.96"
Meteora DLMM,DEX,DLMM,"Trading
Yield","$170,130,013.47"
Kamino Liquidity,Yield,Aggregator,Yield,"$166,978,350.77"
Meteora vaults,Yield,Vaults,Yield,"$138,958,265.86"
Bybit Staked SOL,Staking,Liquid Staking,"Liquidity
Yield","$124,364,401.19"
Meteora pools,DEX,AMM,"Trading
Yield","$92,585,509.25"
Sanctum Reserve,DEX,AMM,"Trading
Yield","$86,056,895.91"
Helius Staked SOL,Staking,Restaking,Yield,"$79,974,089.40"
JPool,Staking,Liquid Staking,"Liquidity
Yield","$79,555,952.02"
marginfi LST,Staking,Liquid Staking,"Liquidity
Yield","$79,084,195.78"
The Vault,Staking,Liquid Staking,"Liquidity
Yield","$70,306,280.05"
Drift Staked SOL,Staking,Liquid Staking,"Liquidity
Yield","$66,391,708.60"
Edgevana,Staking,Liquid Staking,"Liquidity
Yield","$59,059,249.87"
Bonk Staked SOL,Staking,Liquid Staking,"Liquidity
Yield","$42,767,509.42"
Backpack,DEX,CLOB,Trading,"$39,468,945.82"
Bitget SOL,Staking,Liquid Staking,"Liquidity
Yield","$39,068,507.66"
Lulo,Money Market,-,"Lending
Yield","$38,996,374.49"
SPL Governance,Other,Governance,-,"$33,293,199.92"
Saber,DEX,AMM,"Trading
Yield","$25,297,004.13"
Parcl V3,Derivatives,PerpsDEX,"Trading
Yield","$25,228,315.32"
Quarry,Yield,Vaults,Yield,"$22,527,531.49"
Serum,DEX,CLOB,"Trading
Yield","$21,967,260.85"
SolanaHub Staked SOL,Staking,Liquid Staking,"Liquidity
Yield","$17,297,662.36"
FlashTrade,DEX,CLOB,"Trading
Yield","$16,199,750.36"
Parrot Protocol,Other,Synthetics,Yield,"$14,023,786.85"
Phoenix,DEX,CLOB,"Trading
Yield","$13,906,603.69"
Francium,Money Market,-,"Lending
Yield","$13,401,626.86"
Adrena Protocol,Derivatives,PerpsDEX,"Trading
Yield","$12,779,319.50"
Mango Markets V4 Perps,Derivatives,PerpsDEX,"Trading
Yield","$12,442,477.03"
Tulip Protocol,Yield,Vaults,Yield,"$12,242,473.72"
FluxBeam,DEX,AMM,"Trading
Yield","$11,546,174.42"
Fragmetric,Staking,Restaking,Yield,"$10,098,214.60"
Kyros,Other,Compliance,Yield,"$9,995,814.62"
Zeta,Derivatives,Options DEX,"Trading
Yield","$9,614,154.86"
NX Finance,Yield,Leverage Farm,Yield,"$9,501,105.67"
Hubble,DEX,CLOB,"Trading
Yield","$7,133,003.10"
Synatra,Yield,Vaults,Yield,"$7,116,365.72"
Sunny,Yield,Aggregator,Yield,"$6,445,950.57"
HawkFi,Yield,Vaults,"Liquidity
Yield","$5,960,368.57"
Symmetry,Yield,Vaults,Yield,"$5,671,317.43"
Solbank Finance,Money Market,-,"Lending
Yield","$5,510,294.66"
OpenDelta Perpetual Bond,Other,Synthetics,Yield,"$5,036,715.26"
Dual Finance,Yield,Vaults,Yield,"$4,639,680.62"
Katana,Derivatives,Options DEX,"Trading
Yield","$3,705,115.81"
OpenBook,DEX,CLOB,"Trading
Yield","$3,288,708.77"
Larix,Money Market,-,"Lending
Yield","$3,254,515.43"
